# AUTO-BENCH v1 F6 - ARITHMETIC CONTROL (counterfactual pure tier-0), no paid calls made for this file.
# auto run requires --artifact (no artifact-less tier-0 mode exists), so the control is computed,
# not re-fired: each position priced at the MEAN measured tier-0 cost of its distinct ticket in paper/evidence/f6-ratchet-a400-agent.csv;
# tickets never paid there use the global mean paid cost (59 u$) and are flagged estimated=1.
pos,category,text_sha12,cost_usd_micros,latency_ms,estimated
1,billing,17cb12f37f2c,63,1314,0
2,bug,ce3ad56c2cf2,57,833,0
3,feature,596a467f9df0,61,796,0
4,billing,f08ef09a72b6,58,955,0
5,bug,21e6c02f0cf9,57,1051,0
6,feature,63ba506c4f68,57,909,0
7,billing,793f8e241429,60,1054,0
8,bug,c95d2df9836c,59,1266,0
9,feature,85dc8b741c90,59,1022,1
10,billing,3f283840eeb8,59,1022,1
11,bug,5363b868787f,59,1022,1
12,feature,16311abe6402,59,1022,1
13,billing,793f8e241429,60,1054,0
14,bug,8f5076b17d0d,59,1022,1
15,billing,cfb98f978d8b,59,1022,1
16,bug,5363b868787f,59,1022,1
17,bug,21e6c02f0cf9,57,1051,0
18,feature,16311abe6402,59,1022,1
19,feature,63ba506c4f68,57,909,0
20,billing,78a26c8bef69,59,1022,1
21,billing,793f8e241429,60,1054,0
22,feature,596a467f9df0,61,796,0
23,billing,3f283840eeb8,59,1022,1
24,feature,596a467f9df0,61,796,0
25,billing,f08ef09a72b6,58,955,0
26,feature,1b3eb767452a,59,1022,1
27,bug,7c55b12b6d40,59,1022,1
28,feature,1b3eb767452a,59,1022,1
29,billing,17cb12f37f2c,63,1314,0
30,feature,68948e3c77c8,59,1022,1
31,bug,7c55b12b6d40,59,1022,1
32,billing,cfb98f978d8b,59,1022,1
33,billing,17cb12f37f2c,63,1314,0
34,feature,596a467f9df0,61,796,0
35,feature,596a467f9df0,61,796,0
36,billing,3f283840eeb8,59,1022,1
37,feature,63ba506c4f68,57,909,0
38,bug,7c55b12b6d40,59,1022,1
39,billing,793f8e241429,60,1054,0
40,billing,3f283840eeb8,59,1022,1
41,feature,596a467f9df0,61,796,0
42,feature,85dc8b741c90,59,1022,1
43,feature,68948e3c77c8,59,1022,1
44,bug,7c55b12b6d40,59,1022,1
45,bug,c95d2df9836c,59,1266,0
46,billing,f08ef09a72b6,58,955,0
47,feature,85dc8b741c90,59,1022,1
48,feature,16311abe6402,59,1022,1
49,feature,68948e3c77c8,59,1022,1
50,security,4f493401f33b,59,1022,1
51,bug,21e6c02f0cf9,57,1051,0
52,billing,793f8e241429,60,1054,0
53,billing,17cb12f37f2c,63,1314,0
54,bug,8f5076b17d0d,59,1022,1
55,bug,21e6c02f0cf9,57,1051,0
56,feature,16311abe6402,59,1022,1
57,security,4ee6f6ed7ed0,59,1022,1
58,bug,c95d2df9836c,59,1266,0
59,security,77d54dd9a67c,59,1022,1
60,feature,85dc8b741c90,59,1022,1
61,security,4ee6f6ed7ed0,59,1022,1
62,security,4f493401f33b,59,1022,1
63,billing,f08ef09a72b6,58,955,0
64,bug,7c55b12b6d40,59,1022,1
65,billing,f08ef09a72b6,58,955,0
66,bug,21e6c02f0cf9,57,1051,0
67,billing,793f8e241429,60,1054,0
68,security,45bab5f6ed00,59,1022,1
69,bug,5363b868787f,59,1022,1
70,security,907876c2e9aa,59,1022,1
71,security,4ee6f6ed7ed0,59,1022,1
72,security,2852dbe2ff73,59,1022,1
73,billing,cfb98f978d8b,59,1022,1
74,security,5415248e02e2,59,1022,1
75,bug,ce3ad56c2cf2,57,833,0
76,security,4ee6f6ed7ed0,59,1022,1
77,security,45bab5f6ed00,59,1022,1
78,security,4f493401f33b,59,1022,1
79,feature,68948e3c77c8,59,1022,1
80,security,662c755241d1,59,1022,1
81,security,9c474aa4438c,59,1022,1
82,security,f1e66211864a,59,1022,1
83,security,3c5b0804dfe3,59,1022,1
84,security,5eadfa45d7bf,59,1022,1
85,feature,85dc8b741c90,59,1022,1
86,security,45bab5f6ed00,59,1022,1
87,billing,78a26c8bef69,59,1022,1
88,security,3c5b0804dfe3,59,1022,1
89,security,4ee6f6ed7ed0,59,1022,1
90,security,45bab5f6ed00,59,1022,1
91,security,2852dbe2ff73,59,1022,1
92,bug,21e6c02f0cf9,57,1051,0
93,billing,17cb12f37f2c,63,1314,0
94,security,5eadfa45d7bf,59,1022,1
95,feature,16311abe6402,59,1022,1
96,feature,63ba506c4f68,57,909,0
97,feature,85dc8b741c90,59,1022,1
98,bug,ce3ad56c2cf2,57,833,0
99,bug,ce3ad56c2cf2,57,833,0
100,feature,68948e3c77c8,59,1022,1
101,feature,1b3eb767452a,59,1022,1
102,bug,c95d2df9836c,59,1266,0
103,feature,16311abe6402,59,1022,1
104,billing,793f8e241429,60,1054,0
105,bug,21e6c02f0cf9,57,1051,0
106,billing,793f8e241429,60,1054,0
107,security,5415248e02e2,59,1022,1
108,bug,21e6c02f0cf9,57,1051,0
109,feature,63ba506c4f68,57,909,0
110,billing,cfb98f978d8b,59,1022,1
111,bug,ce3ad56c2cf2,57,833,0
112,bug,c95d2df9836c,59,1266,0
113,security,77d54dd9a67c,59,1022,1
114,security,2852dbe2ff73,59,1022,1
115,feature,68948e3c77c8,59,1022,1
116,bug,5363b868787f,59,1022,1
117,billing,3f283840eeb8,59,1022,1
118,bug,5363b868787f,59,1022,1
119,feature,85dc8b741c90,59,1022,1
120,onboarding,65e17160ea68,59,1022,1
121,onboarding,1c81d31bbc0b,59,1022,1
122,feature,85dc8b741c90,59,1022,1
123,bug,8f5076b17d0d,59,1022,1
124,onboarding,65e17160ea68,59,1022,1
125,billing,17cb12f37f2c,63,1314,0
126,security,5415248e02e2,59,1022,1
127,bug,21e6c02f0cf9,57,1051,0
128,feature,1b3eb767452a,59,1022,1
129,security,f1e66211864a,59,1022,1
130,bug,5363b868787f,59,1022,1
131,feature,68948e3c77c8,59,1022,1
132,onboarding,1c81d31bbc0b,59,1022,1
133,bug,21e6c02f0cf9,57,1051,0
134,onboarding,1c81d31bbc0b,59,1022,1
135,security,3c5b0804dfe3,59,1022,1
136,feature,596a467f9df0,61,796,0
137,onboarding,998c4ba59263,59,1022,1
138,bug,21e6c02f0cf9,57,1051,0
139,onboarding,1c81d31bbc0b,59,1022,1
140,onboarding,998c4ba59263,59,1022,1
141,onboarding,6d99f75cb7ae,59,1022,1
142,security,f1e66211864a,59,1022,1
143,onboarding,bff272947e20,59,1022,1
144,feature,1b3eb767452a,59,1022,1
145,onboarding,8667e6330646,59,1022,1
146,feature,68948e3c77c8,59,1022,1
147,onboarding,8962185b2d7f,59,1022,1
148,onboarding,a0ba6e191d3a,59,1022,1
149,bug,c95d2df9836c,59,1266,0
150,security,2852dbe2ff73,59,1022,1
151,onboarding,98d321080eb1,59,1022,1
152,bug,7c55b12b6d40,59,1022,1
153,bug,ce3ad56c2cf2,57,833,0
154,onboarding,ac28bf167850,59,1022,1
155,security,5eadfa45d7bf,59,1022,1
156,billing,cfb98f978d8b,59,1022,1
157,onboarding,b5d2e8f9b001,59,1022,1
158,feature,63ba506c4f68,57,909,0
159,feature,596a467f9df0,61,796,0
160,onboarding,cce057678045,59,1022,1
161,feature,63ba506c4f68,57,909,0
162,onboarding,65e17160ea68,59,1022,1
163,bug,7c55b12b6d40,59,1022,1
164,billing,3f283840eeb8,59,1022,1
165,security,45bab5f6ed00,59,1022,1
166,onboarding,1c81d31bbc0b,59,1022,1
167,billing,cfb98f978d8b,59,1022,1
168,billing,cfb98f978d8b,59,1022,1
169,onboarding,bff272947e20,59,1022,1
170,bug,c95d2df9836c,59,1266,0
171,feature,596a467f9df0,61,796,0
172,feature,63ba506c4f68,57,909,0
173,security,4ee6f6ed7ed0,59,1022,1
174,bug,21e6c02f0cf9,57,1051,0
175,onboarding,1c81d31bbc0b,59,1022,1
176,bug,c95d2df9836c,59,1266,0
177,security,5eadfa45d7bf,59,1022,1
178,feature,16311abe6402,59,1022,1
179,onboarding,cce057678045,59,1022,1
180,security,4ee6f6ed7ed0,59,1022,1
181,bug,5363b868787f,59,1022,1
182,billing,17cb12f37f2c,63,1314,0
183,security,4f493401f33b,59,1022,1
184,onboarding,1c81d31bbc0b,59,1022,1
185,bug,7c55b12b6d40,59,1022,1
186,feature,16311abe6402,59,1022,1
187,bug,21e6c02f0cf9,57,1051,0
188,security,9c474aa4438c,59,1022,1
189,feature,68948e3c77c8,59,1022,1
190,onboarding,8667e6330646,59,1022,1
191,billing,f08ef09a72b6,58,955,0
192,onboarding,998c4ba59263,59,1022,1
193,billing,f08ef09a72b6,58,955,0
194,onboarding,8962185b2d7f,59,1022,1
195,billing,cfb98f978d8b,59,1022,1
196,billing,793f8e241429,60,1054,0
197,security,2852dbe2ff73,59,1022,1
198,bug,5363b868787f,59,1022,1
199,security,662c755241d1,59,1022,1
200,billing-fraud,3e24fdaa2019,59,1022,1
201,billing,f08ef09a72b6,58,955,0
202,bug,8f5076b17d0d,59,1022,1
203,billing-fraud,bb3afbf3fae0,59,1022,1
204,billing,793f8e241429,60,1054,0
205,feature,16311abe6402,59,1022,1
206,billing-fraud,aa4621b71c34,59,1022,1
207,security,5eadfa45d7bf,59,1022,1
208,billing-fraud,adec52e9c436,59,1022,1
209,bug,c95d2df9836c,59,1266,0
210,billing-fraud,a8c1171b068d,59,1022,1
211,security,662c755241d1,59,1022,1
212,billing-fraud,f53c48b0f77c,59,1022,1
213,onboarding,98d321080eb1,59,1022,1
214,bug,8f5076b17d0d,59,1022,1
215,billing-fraud,97fc8965221c,59,1022,1
216,billing-fraud,bc6b900f6708,59,1022,1
217,bug,21e6c02f0cf9,57,1051,0
218,security,5415248e02e2,59,1022,1
219,billing-fraud,e1e33daccb45,59,1022,1
220,security,2852dbe2ff73,59,1022,1
221,security,5415248e02e2,59,1022,1
222,onboarding,bff272947e20,59,1022,1
223,onboarding,ac28bf167850,59,1022,1
224,billing-fraud,bb3afbf3fae0,59,1022,1
225,billing,793f8e241429,60,1054,0
226,onboarding,1c81d31bbc0b,59,1022,1
227,billing-fraud,bc6b900f6708,59,1022,1
228,bug,5363b868787f,59,1022,1
229,billing-fraud,bb3afbf3fae0,59,1022,1
230,feature,68948e3c77c8,59,1022,1
231,billing-fraud,efcfd0ceae7e,59,1022,1
232,bug,ce3ad56c2cf2,57,833,0
233,billing-fraud,bc6b900f6708,59,1022,1
234,security,77d54dd9a67c,59,1022,1
235,bug,5363b868787f,59,1022,1
236,security,4ee6f6ed7ed0,59,1022,1
237,billing-fraud,9ce7474d0b59,59,1022,1
238,onboarding,a0ba6e191d3a,59,1022,1
239,onboarding,1c81d31bbc0b,59,1022,1
240,billing-fraud,a4faccf09ec1,59,1022,1
241,onboarding,998c4ba59263,59,1022,1
242,billing-fraud,cc8b30748245,59,1022,1
243,feature,16311abe6402,59,1022,1
244,billing,f08ef09a72b6,58,955,0
245,billing-fraud,88f99b8bf7e9,59,1022,1
246,billing,cfb98f978d8b,59,1022,1
247,feature,68948e3c77c8,59,1022,1
248,bug,ce3ad56c2cf2,57,833,0
249,billing-fraud,3e24fdaa2019,59,1022,1
250,billing-fraud,efcfd0ceae7e,59,1022,1
251,billing,793f8e241429,60,1054,0
252,feature,16311abe6402,59,1022,1
253,onboarding,ac28bf167850,59,1022,1
254,billing-fraud,cc8b30748245,59,1022,1
255,security,5415248e02e2,59,1022,1
256,bug,c95d2df9836c,59,1266,0
257,billing,793f8e241429,60,1054,0
258,billing,cfb98f978d8b,59,1022,1
259,security,9c474aa4438c,59,1022,1
260,security,9c474aa4438c,59,1022,1
261,security,4ee6f6ed7ed0,59,1022,1
262,security,45bab5f6ed00,59,1022,1
263,feature,596a467f9df0,61,796,0
264,feature,16311abe6402,59,1022,1
265,security,9c474aa4438c,59,1022,1
266,onboarding,a0ba6e191d3a,59,1022,1
267,billing-fraud,f53c48b0f77c,59,1022,1
268,billing-fraud,f53c48b0f77c,59,1022,1
269,feature,68948e3c77c8,59,1022,1
270,onboarding,98d321080eb1,59,1022,1
271,billing,3f283840eeb8,59,1022,1
272,security,9c474aa4438c,59,1022,1
273,security,f1e66211864a,59,1022,1
274,security,9c474aa4438c,59,1022,1
275,bug,7c55b12b6d40,59,1022,1
276,billing-fraud,efcfd0ceae7e,59,1022,1
277,onboarding,8667e6330646,59,1022,1
278,billing-fraud,a8c1171b068d,59,1022,1
279,security,4f493401f33b,59,1022,1
280,feature,1b3eb767452a,59,1022,1
281,bug,21e6c02f0cf9,57,1051,0
282,feature,1b3eb767452a,59,1022,1
283,feature,596a467f9df0,61,796,0
284,bug,c95d2df9836c,59,1266,0
285,security,5415248e02e2,59,1022,1
286,billing-fraud,88f99b8bf7e9,59,1022,1
287,billing,cfb98f978d8b,59,1022,1
288,billing,cfb98f978d8b,59,1022,1
289,onboarding,cce057678045,59,1022,1
290,security,4ee6f6ed7ed0,59,1022,1
291,security,9c474aa4438c,59,1022,1
292,billing-fraud,a4faccf09ec1,59,1022,1
293,billing-fraud,9ce7474d0b59,59,1022,1
294,billing-fraud,e1e33daccb45,59,1022,1
295,billing-fraud,adec52e9c436,59,1022,1
296,billing-fraud,97fc8965221c,59,1022,1
297,billing-fraud,aa4621b71c34,59,1022,1
298,onboarding,b5d2e8f9b001,59,1022,1
299,onboarding,6d99f75cb7ae,59,1022,1
300,security,907876c2e9aa,59,1022,1
